ROWNUM,project_id,+PRIVILEGES,object_id,antennaSet,channelsPerSubband,channelWidth,clock,creationDate,duration,endTime,instrumentFilter,isValid,nrStationsCore,nrStationsInternational,nrStationsRemote,numberOfBeamFormedDataProducts,numberOfBitsPerSample,numberOfCorrelatedDataProducts,numberOfStations,numberOfSubArrayPointings,numberOfTransientBufferBoardEv,observationDescription,observationId,observationIdSource,observingMode,processIdentifier,processIdentifierName,processIdentifierSource,releaseDate,startTime,stationSelection,strategyDescription,strategyName,timeSystem,OBJECT_ID$
15,402630,4,D521ECAA06150352E043C616A9C39EA0,"HBA Dual Inner",64,0.0030517578125,200.0,2013-02-07 12:40:40,0.0,2013-02-03 12:22:01,"110-190 MHz",1,24,0,13,0,8,324,37,1,-1,"Calibrator observation 9","86578","SAS","Interferometer",203131,"Calibrator Obs. 9","MoM",2015-03-01 00:00:00,2013-02-03 12:22:01,"Custom","default","Interferometer","UTC",Observation
16,402630,4,D52282E4292B1490E043C616A9C39851,"HBA Dual Inner",64,0.0030517578125,200.0,2013-02-07 13:22:40,0.0,2013-02-03 12:25:01,"110-190 MHz",1,24,0,13,0,8,324,37,1,-1,"Target Observation 9","86579","SAS","Interferometer",203133,"Target Obs. 9","MoM",2015-03-01 00:00:00,2013-02-03 12:25:01,"Custom","default","Interferometer","UTC",Observation
17,402630,4,D5251AF603C64542E043C616A9C36DF1,"HBA Dual Inner",64,0.0030517578125,200.0,2013-02-07 16:28:21,0.0,2013-02-03 12:37:01,"110-190 MHz",1,24,0,13,0,8,324,37,1,-1,"Calibrator observation 10","86580","SAS","Interferometer",203137,"Calibrator Obs. 10","MoM",2015-03-01 00:00:00,2013-02-03 12:37:01,"Custom","default","Interferometer","UTC",Observation
18,402630,4,D5289C4830B70CD3E043C616A9C3C83E,"HBA Dual Inner",64,0.0030517578125,200.0,2013-02-07 20:39:16,0.0,2013-02-03 12:52:01,"110-190 MHz",1,24,0,13,0,8,324,37,1,-1,"Calibrator observation 11","86582","SAS","Interferometer",203143,"Calibrator Obs. 11","MoM",2015-03-01 00:00:00,2013-02-03 12:52:01,"Custom","default","Interferometer","UTC",Observation
19,402630,4,D5292E158B2B1DAEE043C616A9C37BC0,"HBA Dual Inner",64,0.0030517578125,200.0,2013-02-07 21:20:02,0.0,2013-02-03 12:55:01,"110-190 MHz",1,24,0,13,0,8,324,37,1,-1,"Target Observation 11","86583","SAS","Interferometer",203145,"Target Obs. 11","MoM",2015-03-01 00:00:00,2013-02-03 12:55:01,"Custom","default","Interferometer","UTC",Observation
20,402630,4,D52BD26424644E4EE043C616A9C3FCAD,"HBA Dual Inner",64,0.0030517578125,200.0,2013-02-08 00:29:08,0.0,2013-02-03 13:07:01,"110-190 MHz",1,24,0,13,0,8,324,37,1,-1,"Calibrator observation 12","86584","SAS","Interferometer",203149,"Calibrator Obs. 12","MoM",2015-03-01 00:00:00,2013-02-03 13:07:01,"Custom","default","Interferometer","UTC",Observation
21,402630,4,D52C65304C585E54E043C616A9C354FC,"HBA Dual Inner",64,0.0030517578125,200.0,2013-02-08 01:10:11,0.0,2013-02-03 13:10:00,"110-190 MHz",1,24,0,13,0,8,324,37,1,-1,"Target Observation 12","86585","SAS","Interferometer",203151,"Target Obs. 12","MoM",2015-03-01 00:00:00,2013-02-03 13:10:00,"Custom","default","Interferometer","UTC",Observation
22,402630,4,D52EFC9C67100F62E043C616A9C3A2BB,"HBA Dual Inner",64,0.0030517578125,200.0,2013-02-08 04:15:42,0.0,2013-02-03 13:22:01,"110-190 MHz",1,24,0,13,0,8,324,37,1,-1,"Calibrator observation 13","86586","SAS","Interferometer",203155,"Calibrator Obs. 13","MoM",2015-03-01 00:00:00,2013-02-03 13:22:01,"Custom","default","Interferometer","UTC",Observation
23,402630,4,D52F926D85D22119E043C616A9C3ADAB,"HBA Dual Inner",64,0.0030517578125,200.0,2013-02-08 04:57:35,0.0,2013-02-03 13:25:01,"110-190 MHz",1,24,0,13,0,8,324,37,1,-1,"Target Observation 13","86587","SAS","Interferometer",203157,"Target Obs. 13","MoM",2015-03-01 00:00:00,2013-02-03 13:25:01,"Custom","default","Interferometer","UTC",Observation
24,402630,4,D53242DF4A50514EE043C616A9C34CFD,"HBA Dual Inner",64,0.0030517578125,200.0,2013-02-08 08:10:05,0.0,2013-02-03 13:37:00,"110-190 MHz",1,24,0,13,0,8,324,37,1,-1,"Calibrator observation 14","86588","SAS","Interferometer",203161,"Calibrator Obs. 14","MoM",2015-03-01 00:00:00,2013-02-03 13:37:00,"Custom","default","Interferometer","UTC",Observation
25,402630,4,D532D442E6AD613FE043C616A9C341A0,"HBA Dual Inner",64,0.0030517578125,200.0,2013-02-08 08:50:44,0.0,2013-02-03 13:40:01,"110-190 MHz",1,24,0,13,0,8,324,37,1,-1,"Target Observation 14","86589","SAS","Interferometer",203163,"Target Obs. 14","MoM",2015-03-01 00:00:00,2013-02-03 13:40:01,"Custom","default","Interferometer","UTC",Observation
