"OBJECT_ID"	"+CREATOR"	"+PROJECT"	"+PRIVILEGES"	"+CREATED"	"+MODIFIED"	"+VERSION"	"+ORIGIN"	"BEAMNUMBER"	"COHERENTSTOKES"	"COHERENTSTOKES$"	"CORRELATOR"	"CORRELATOR$"	"DURATION"	"ENDTIME"	"FLYSEYE"	"FLYSEYE$"	"MEASUREMENTDESCRIPTION"	"MEASUREMENTTYPE"	"NONSTANDARD"	"NONSTANDARD$"	"NUMBEROFPROCESSING"	"OLD_POINTING$"	"STARTTIME"	"SUBARRAYPOINTINGIDENTIFIERNAME"	"BARRAYPOINTINGIDENTIFIERSOURCE"	"TARGETNAME"	"SUBARRAYPOINTINGIDENTIFIER"	"INCOHERENTSTOKES"	"INCOHERENTSTOKES$"	"NUMBEROFCORRELATEDDATAPRODUCTS"	"NUMBEROFBEAMFORMEDDATAPRODUCTS"	"POINTING"	"POINTING$"
D4A749EB035E57A8E043C616A9C32829	95	402583	4	01-02-13 09:22:56,760779000	18-12-14 17:20:41,007313000	-1	999544604	1		""	D4A749EB035D57A8E043C616A9C32829	"Correlator"	18000,0	30-01-13 21:00:01,000000000		""	"Calibrator beam of IC342 LBA observation "	"Calibration"		""	1	""	30-01-13 16:00:01,000000000	"3C147"	"MoM"	"3C147"	199136		""	244	0	D4A749EB035C57A8E043C616A9C32829	"Pointing"
D4A91B41B91D741BE043C616A9C3CD16	95	402581	4	01-02-13 11:33:03,737491000	18-12-14 17:20:41,007454000	-1	999544604	0		""	D4A91B41B91C741BE043C616A9C3CD16	"Correlator"	0,0	31-01-13 16:31:53,000000000		""	"IC443"	"Target"		""	1	""	31-01-13 16:31:53,000000000	"IC443"	"MoM"	"IC443"	202310		""	122	0	D4A91B41B91B741BE043C616A9C3CD16	"Pointing"
D4A91B41B920741BE043C616A9C3CD16	95	402581	4	01-02-13 11:33:03,741410000	18-12-14 17:20:41,007586000	-1	999544604	1		""	D4A91B41B91F741BE043C616A9C3CD16	"Correlator"	0,0	31-01-13 16:31:53,000000000		""	"3C196"	"Calibration"		""	1	""	31-01-13 16:31:53,000000000	"3C196"	"MoM"	"3C196"	202311		""	122	0	D4A91B41B91E741BE043C616A9C3CD16	"Pointing"
D5CE6884F7403029E043C616A9C3F9B5	95	402630	4	16-02-13 01:28:25,457299000	18-12-14 17:20:41,008416000	-1	999544604	0		""	D5CE6884F73F3029E043C616A9C3F9B5	"Correlator"	0,0	03-02-13 20:52:02,000000000		""	"3C48"	"Calibration"		""	1	""	03-02-13 20:52:02,000000000	"3C48"	"MoM"	"3C48"	203336		""	324	0	D5CE6884F73E3029E043C616A9C3F9B5	"Pointing"
D6E6D2C2CA760141E043C616A9C32525	95	402709	4	02-03-13 00:01:18,688133000	18-12-14 17:20:41,008550000	-1	999544604	0		""	D6E6D2C2CA750141E043C616A9C32525	"Correlator"	0,0	10-02-13 17:30:07,000000000		""	"BEAM0"	"Target"		""	1	""	10-02-13 17:30:07,000000000	"BEAM0"	"MoM"	"BEAM0"	207204		""	40	0	D6E6D2C2CA740141E043C616A9C32525	"Pointing"
D6E6D2C2CA790141E043C616A9C32525	95	402709	4	02-03-13 00:01:18,692153000	18-12-14 17:20:41,008680000	-1	999544604	1		""	D6E6D2C2CA780141E043C616A9C32525	"Correlator"	0,0	10-02-13 17:30:07,000000000		""	"BEAM1"	"Target"		""	1	""	10-02-13 17:30:07,000000000	"BEAM1"	"MoM"	"BEAM1"	207205		""	40	0	D6E6D2C2CA770141E043C616A9C32525	"Pointing"
D6E6D2C2CA7C0141E043C616A9C32525	95	402709	4	02-03-13 00:01:18,696054000	18-12-14 17:20:41,008819000	-1	999544604	2		""	D6E6D2C2CA7B0141E043C616A9C32525	"Correlator"	0,0	10-02-13 17:30:07,000000000		""	"BEAM2"	"Target"		""	1	""	10-02-13 17:30:07,000000000	"BEAM2"	"MoM"	"BEAM2"	207206		""	40	0	D6E6D2C2CA7A0141E043C616A9C32525	"Pointing"
D6E6D2C2CA7F0141E043C616A9C32525	95	402709	4	02-03-13 00:01:18,699858000	18-12-14 17:20:41,008950000	-1	999544604	3		""	D6E6D2C2CA7E0141E043C616A9C32525	"Correlator"	0,0	10-02-13 17:30:07,000000000		""	"BEAM3"	"Target"		""	1	""	10-02-13 17:30:07,000000000	"BEAM3"	"MoM"	"BEAM3"	207207		""	40	0	D6E6D2C2CA7D0141E043C616A9C32525	"Pointing"
D6E6D2C2CA820141E043C616A9C32525	95	402709	4	02-03-13 00:01:18,703902000	18-12-14 17:20:41,009096000	-1	999544604	4		""	D6E6D2C2CA810141E043C616A9C32525	"Correlator"	0,0	10-02-13 17:30:07,000000000		""	"BEAM4"	"Target"		""	1	""	10-02-13 17:30:07,000000000	"BEAM4"	"MoM"	"BEAM4"	207208		""	40	0	D6E6D2C2CA800141E043C616A9C32525	"Pointing"
D6E6D2C2CA850141E043C616A9C32525	95	402709	4	02-03-13 00:01:18,707734000	18-12-14 17:20:41,009551000	-1	999544604	5		""	D6E6D2C2CA840141E043C616A9C32525	"Correlator"	0,0	10-02-13 17:30:07,000000000		""	"BEAM5"	"Target"		""	1	""	10-02-13 17:30:07,000000000	"BEAM5"	"MoM"	"BEAM5"	207209		""	40	0	D6E6D2C2CA830141E043C616A9C32525	"Pointing"
D6E6D2C2CA880141E043C616A9C32525	95	402709	4	02-03-13 00:01:18,711622000	18-12-14 17:20:41,009682000	-1	999544604	6		""	D6E6D2C2CA870141E043C616A9C32525	"Correlator"	0,0	10-02-13 17:30:07,000000000		""	"BEAM6"	"Target"		""	1	""	10-02-13 17:30:07,000000000	"BEAM6"	"MoM"	"BEAM6"	207210		""	4	0	D6E6D2C2CA860141E043C616A9C32525	"Pointing"
D733003A50B02FEBE043C616A9C32AC3	95	402709	4	05-03-13 18:54:19,395541000	18-12-14 17:20:41,009814000	-1	999544604	0		""	D733003A50AF2FEBE043C616A9C32AC3	"Correlator"	0,0	10-02-13 20:15:08,000000000		""	"BEAM0"	"Target"		""	1	""	10-02-13 20:15:08,000000000	"BEAM0"	"MoM"	"BEAM0"	207407		""	40	0	D733003A50AE2FEBE043C616A9C32AC3	"Pointing"
D733003A50B32FEBE043C616A9C32AC3	95	402709	4	05-03-13 18:54:19,399350000	18-12-14 17:20:41,009974000	-1	999544604	1		""	D733003A50B22FEBE043C616A9C32AC3	"Correlator"	0,0	10-02-13 20:15:08,000000000		""	"BEAM1"	"Target"		""	1	""	10-02-13 20:15:08,000000000	"BEAM1"	"MoM"	"BEAM1"	207408		""	40	0	D733003A50B12FEBE043C616A9C32AC3	"Pointing"
