"OBJECT_ID"	"+CREATOR"	"+PROJECT"	"+PRIVILEGES"	"+CREATED"	"+MODIFIED"	"+VERSION"	"+ORIGIN"	"ANTENNASET"	"CHANNELWIDTH"	"CLOCK"	"CREATIONDATE"	"DURATION"	"ENDTIME"	"INSTRUMENTFILTER"	"NUMBEROFSTATIONS"	"NUMBEROFSUBARRAYPOINTINGS"	"EROFTRANSIENTBUFFERBOARDEVENTS"	"OBSERVATIONDESCRIPTION"	"OBSERVATIONID"	"OBSERVATIONIDSOURCE"	"OBSERVINGMODE"	"PARSET"	"PARSET$"	"PROCESSIDENTIFIERNAME"	"PROCESSIDENTIFIERSOURCE"	"PROJECTINFORMATION"	"PROJECTINFORMATION$"	"STARTTIME"	"STATIONSELECTION"	"STRATEGYDESCRIPTION"	"STRATEGYNAME"	"TIMESYSTEM"	"PROCESSIDENTIFIER"	"NRSTATIONSCORE"	"NRSTATIONSREMOTE"	"NRSTATIONSINTERNATIONAL"	"NUMBEROFCORRELATEDDATAPRODUCTS"	"NUMBEROFBEAMFORMEDDATAPRODUCTS"	"CHANNELSPERSUBBAND"	"NUMBEROFBITSPERSAMPLE"	"ISVALID"	"RELEASEDATE"
D91405040706237FE043C616A9C3FB66	95	402790	4	29-03-13 16:46:59,078615000	25-01-17 11:58:59,920734000	-1	999544604	"HBA Joined"	0,0030517578125	200,0	29-03-13 17:46:50,000000000	0,0	21-03-13 00:45:40,000000000	"110-190 MHz"	44	3	-1	"M82/9/TO (Target Observation)"	"106090"	"SAS"	"Interferometer"	D914050406FC237FE043C616A9C3FB66	"ParsetFile"	"M82/9/TO"	"MoM"	D903BE5EFA1C5D8BE043C616A9C36BB6	"ProjectInformation"	21-03-13 00:45:40,000000000	"Custom"	"default"	"Interferometer"	"UTC"	227568	23	13	8	486	0	64	8	1	01-03-15 00:00:00,000000000
D91407036DA623C6E043C616A9C365DE	95	402790	4	29-03-13 16:47:32,671089000	25-01-17 11:58:59,920922000	-1	999544604	"HBA Joined"	0,0030517578125	200,0	29-03-13 17:47:24,000000000	0,0	21-03-13 01:46:39,000000000	"110-190 MHz"	44	1	-1	"3C196/10/CO (Calibration Observation)"	"106089"	"SAS"	"Interferometer"	D91407036DA223C6E043C616A9C365DE	"ParsetFile"	"3C196/10/CO"	"MoM"	D903BE5EFA1C5D8BE043C616A9C36BB6	"ProjectInformation"	21-03-13 01:46:39,000000000	"Custom"	"default"	"Interferometer"	"UTC"	227575	23	13	8	162	0	64	8	1	01-03-15 00:00:00,000000000
D9141FAED1292885E043C616A9C3EEE2	95	402635	4	29-03-13 16:54:26,394496000	25-01-17 12:00:56,288911000	-1	999544604	"HBA Dual"	0,0030517578125	200,0	29-03-13 17:54:18,000000000	0,0	20-03-13 10:31:29,000000000	"210-250 MHz"	37	1	-1	"3C454.3/1/TO (Target Observation)"	"106086"	"SAS"	"Interferometer"	D9141FAED1252885E043C616A9C3EEE2	"ParsetFile"	"3C454.3/1/TO"	"MoM"	D670C90598F2719AE043C616A9C3F9E3	"ProjectInformation"	20-03-13 10:31:29,000000000	"Custom"	"default"	"Interferometer"	"UTC"	229329	24	13	0	204	0	64	16	1	02-05-15 00:00:00,000000000
D91462637A4B397BE043C616A9C3DCA0	95	402635	4	29-03-13 17:13:06,071199000	25-01-17 12:00:56,289150000	-1	999544604	"HBA Dual"	0,0030517578125	200,0	29-03-13 18:12:57,000000000	0,0	20-03-13 14:08:38,000000000	"210-250 MHz"	37	1	-1	"3C48/1/CO (Calibration Observation)"	"106085"	"SAS"	"Interferometer"	D91462637A47397BE043C616A9C3DCA0	"ParsetFile"	"3C48/1/CO"	"MoM"	D670C90598F2719AE043C616A9C3F9E3	"ProjectInformation"	20-03-13 14:08:38,000000000	"Custom"	"default"	"Interferometer"	"UTC"	229334	24	13	0	204	0	64	16	1	02-05-15 00:00:00,000000000
D521ECAA06150352E043C616A9C39EA0	95	402630	4	07-02-13 11:41:33,085386000	25-01-17 12:00:14,442806000	-1	999544604	"HBA Dual Inner"	0,0030517578125	200,0	07-02-13 12:40:40,000000000	0,0	03-02-13 12:22:01,000000000	"110-190 MHz"	37	1	-1	"Calibrator observation 9"	"86578"	"SAS"	"Interferometer"	D521ECAA06110352E043C616A9C39EA0	"ParsetFile"	"Calibrator Obs. 9"	"MoM"	D5195C106F4E3A2CE043C616A9C36CB0	"ProjectInformation"	03-02-13 12:22:01,000000000	"Custom"	"default"	"Interferometer"	"UTC"	203131	24	13	0	324	0	64	8	1	01-03-15 00:00:00,000000000
D52282E4292B1490E043C616A9C39851	95	402630	4	07-02-13 12:23:33,477101000	25-01-17 12:00:14,442996000	-1	999544604	"HBA Dual Inner"	0,0030517578125	200,0	07-02-13 13:22:40,000000000	0,0	03-02-13 12:25:01,000000000	"110-190 MHz"	37	1	-1	"Target Observation 9"	"86579"	"SAS"	"Interferometer"	D52282E429271490E043C616A9C39851	"ParsetFile"	"Target Obs. 9"	"MoM"	D5195C106F4E3A2CE043C616A9C36CB0	"ProjectInformation"	03-02-13 12:25:01,000000000	"Custom"	"default"	"Interferometer"	"UTC"	203133	24	13	0	324	0	64	8	1	01-03-15 00:00:00,000000000
D5251AF603C64542E043C616A9C36DF1	95	402630	4	07-02-13 15:29:14,719266000	25-01-17 12:00:14,443186000	-1	999544604	"HBA Dual Inner"	0,0030517578125	200,0	07-02-13 16:28:21,000000000	0,0	03-02-13 12:37:01,000000000	"110-190 MHz"	37	1	-1	"Calibrator observation 10"	"86580"	"SAS"	"Interferometer"	D5251AF603C24542E043C616A9C36DF1	"ParsetFile"	"Calibrator Obs. 10"	"MoM"	D5195C106F4E3A2CE043C616A9C36CB0	"ProjectInformation"	03-02-13 12:37:01,000000000	"Custom"	"default"	"Interferometer"	"UTC"	203137	24	13	0	324	0	64	8	1	01-03-15 00:00:00,000000000
D5289C4830B70CD3E043C616A9C3C83E	95	402630	4	07-02-13 19:40:09,266670000	25-01-17 12:00:14,443371000	-1	999544604	"HBA Dual Inner"	0,0030517578125	200,0	07-02-13 20:39:16,000000000	0,0	03-02-13 12:52:01,000000000	"110-190 MHz"	37	1	-1	"Calibrator observation 11"	"86582"	"SAS"	"Interferometer"	D5289C4830B30CD3E043C616A9C3C83E	"ParsetFile"	"Calibrator Obs. 11"	"MoM"	D5195C106F4E3A2CE043C616A9C36CB0	"ProjectInformation"	03-02-13 12:52:01,000000000	"Custom"	"default"	"Interferometer"	"UTC"	203143	24	13	0	324	0	64	8	1	01-03-15 00:00:00,000000000
D5292E158B2B1DAEE043C616A9C37BC0	95	402630	4	07-02-13 20:20:55,420778000	25-01-17 12:00:14,443551000	-1	999544604	"HBA Dual Inner"	0,0030517578125	200,0	07-02-13 21:20:02,000000000	0,0	03-02-13 12:55:01,000000000	"110-190 MHz"	37	1	-1	"Target Observation 11"	"86583"	"SAS"	"Interferometer"	D5292E158B271DAEE043C616A9C37BC0	"ParsetFile"	"Target Obs. 11"	"MoM"	D5195C106F4E3A2CE043C616A9C36CB0	"ProjectInformation"	03-02-13 12:55:01,000000000	"Custom"	"default"	"Interferometer"	"UTC"	203145	24	13	0	324	0	64	8	1	01-03-15 00:00:00,000000000
D52BD26424644E4EE043C616A9C3FCAD	95	402630	4	07-02-13 23:30:01,981753000	25-01-17 12:00:14,443811000	-1	999544604	"HBA Dual Inner"	0,0030517578125	200,0	08-02-13 00:29:08,000000000	0,0	03-02-13 13:07:01,000000000	"110-190 MHz"	37	1	-1	"Calibrator observation 12"	"86584"	"SAS"	"Interferometer"	D52BD26424604E4EE043C616A9C3FCAD	"ParsetFile"	"Calibrator Obs. 12"	"MoM"	D5195C106F4E3A2CE043C616A9C36CB0	"ProjectInformation"	03-02-13 13:07:01,000000000	"Custom"	"default"	"Interferometer"	"UTC"	203149	24	13	0	324	0	64	8	1	01-03-15 00:00:00,000000000
D52C65304C585E54E043C616A9C354FC	95	402630	4	08-02-13 00:11:04,823060000	25-01-17 12:00:14,443991000	-1	999544604	"HBA Dual Inner"	0,0030517578125	200,0	08-02-13 01:10:11,000000000	0,0	03-02-13 13:10:00,000000000	"110-190 MHz"	37	1	-1	"Target Observation 12"	"86585"	"SAS"	"Interferometer"	D52C65304C545E54E043C616A9C354FC	"ParsetFile"	"Target Obs. 12"	"MoM"	D5195C106F4E3A2CE043C616A9C36CB0	"ProjectInformation"	03-02-13 13:10:00,000000000	"Custom"	"default"	"Interferometer"	"UTC"	203151	24	13	0	324	0	64	8	1	01-03-15 00:00:00,000000000
D52EFC9C67100F62E043C616A9C3A2BB	95	402630	4	08-02-13 03:16:35,202902000	25-01-17 12:00:14,444177000	-1	999544604	"HBA Dual Inner"	0,0030517578125	200,0	08-02-13 04:15:42,000000000	0,0	03-02-13 13:22:01,000000000	"110-190 MHz"	37	1	-1	"Calibrator observation 13"	"86586"	"SAS"	"Interferometer"	D52EFC9C670C0F62E043C616A9C3A2BB	"ParsetFile"	"Calibrator Obs. 13"	"MoM"	D5195C106F4E3A2CE043C616A9C36CB0	"ProjectInformation"	03-02-13 13:22:01,000000000	"Custom"	"default"	"Interferometer"	"UTC"	203155	24	13	0	324	0	64	8	1	01-03-15 00:00:00,000000000
D52F926D85D22119E043C616A9C3ADAB	95	402630	4	08-02-13 03:58:28,712333000	25-01-17 12:00:14,444364000	-1	999544604	"HBA Dual Inner"	0,0030517578125	200,0	08-02-13 04:57:35,000000000	0,0	03-02-13 13:25:01,000000000	"110-190 MHz"	37	1	-1	"Target Observation 13"	"86587"	"SAS"	"Interferometer"	D52F926D85CE2119E043C616A9C3ADAB	"ParsetFile"	"Target Obs. 13"	"MoM"	D5195C106F4E3A2CE043C616A9C36CB0	"ProjectInformation"	03-02-13 13:25:01,000000000	"Custom"	"default"	"Interferometer"	"UTC"	203157	24	13	0	324	0	64	8	1	01-03-15 00:00:00,000000000
D53242DF4A50514EE043C616A9C34CFD	95	402630	4	08-02-13 07:10:58,892467000	25-01-17 12:00:14,444543000	-1	999544604	"HBA Dual Inner"	0,0030517578125	200,0	08-02-13 08:10:05,000000000	0,0	03-02-13 13:37:00,000000000	"110-190 MHz"	37	1	-1	"Calibrator observation 14"	"86588"	"SAS"	"Interferometer"	D53242DF4A4C514EE043C616A9C34CFD	"ParsetFile"	"Calibrator Obs. 14"	"MoM"	D5195C106F4E3A2CE043C616A9C36CB0	"ProjectInformation"	03-02-13 13:37:00,000000000	"Custom"	"default"	"Interferometer"	"UTC"	203161	24	13	0	324	0	64	8	1	01-03-15 00:00:00,000000000
D532D442E6AD613FE043C616A9C341A0	95	402630	4	08-02-13 07:51:38,116988000	25-01-17 12:00:14,444776000	-1	999544604	"HBA Dual Inner"	0,0030517578125	200,0	08-02-13 08:50:44,000000000	0,0	03-02-13 13:40:01,000000000	"110-190 MHz"	37	1	-1	"Target Observation 14"	"86589"	"SAS"	"Interferometer"	D532D442E6A9613FE043C616A9C341A0	"ParsetFile"	"Target Obs. 14"	"MoM"	D5195C106F4E3A2CE043C616A9C36CB0	"ProjectInformation"	03-02-13 13:40:01,000000000	"Custom"	"default"	"Interferometer"	"UTC"	203163	24	13	0	324	0	64	8	1	01-03-15 00:00:00,000000000
